[NRO. RECIBO];[MTO. ECI];[FECHA PAGO];[MTO. EFE];[MONTO CHQ];[CTA.CHQ];[NRO.CHQ];[FECHA CHQ];[MONTO TDD];[NRO.TDD];[MONTO TDC];[NRO.TDC];[MONTO TRANSF];[NRO.TRANS];[MOTO.TP];[NRO.CTA.RECA]
0000000005;0000001822465212499;25082017;0000001822465212499;0000000000000000000;0000000000000000000000000;000000000000000;00000000;0000000000000000000;0000000000000000000;0000000000000000000;0000000000000000000;0000000000000000000;0000000000000000000;0000001822465212499;0000001280063186300031652
0000000006;0000001822465212498;25082017;0000001822465212498;0000000000000000000;0000000000000000000000000;000000000000000;00000000;0000000000000000000;0000000000000000000;0000000000000000000;0000000000000000000;0000000000000000000;0000000000000000000;0000001822465212498;0000001280063186300031652
0000101371;0000000002296510521;25082017;0000000002296510521;0000000000000000000;0000000000000000000000000;000000000000000;00000000;0000000000000000000;0000000000000000000;0000000000000000000;0000000000000000000;0000000000000000000;0000000000000000000;0000000002296510521;0000001280063186300031652
0000102645;0000000000140000000;25082017;0000000000140000000;0000000000000000000;0000000000000000000000000;000000000000000;00000000;0000000000000000000;0000000000000000000;0000000000000000000;0000000000000000000;0000000000000000000;0000000000000000000;0000000000140000000;0000001280063186300031652
0000079990;0000000000073466982;25082017;0000000000073466982;0000000000000000000;0000000000000000000000000;000000000000000;00000000;0000000000000000000;0000000000000000000;0000000000000000000;0000000000000000000;0000000000000000000;0000000000000000000;0000000000073466982;0000001280063186300031652
0000102763;0000000000000599301;25082017;0000000000000599301;0000000000000000000;0000000000000000000000000;000000000000000;00000000;0000000000000000000;0000000000000000000;0000000000000000000;0000000000000000000;0000000000000000000;0000000000000000000;0000000000000599301;0000001280063186300031652
0000099999;0000000000000141600;25082017;0000000000000141600;0000000000000000000;0000000000000000000000000;000000000000000;00000000;0000000000000000000;0000000000000000000;0000000000000000000;0000000000000000000;0000000000000000000;0000000000000000000;0000000000000141600;0000001280063186300031652
0000000090;0000000000000020828;25082017;0000000000000020828;0000000000000000000;0000000000000000000000000;000000000000000;00000000;0000000000000000000;0000000000000000000;0000000000000000000;0000000000000000000;0000000000000000000;0000000000000000000;0000000000000020828;0000001280063186300031652
0000089987;0000000000000001914;25082017;0000000000000001914;0000000000000000000;0000000000000000000000000;000000000000000;00000000;0000000000000000000;0000000000000000000;0000000000000000000;0000000000000000000;0000000000000000000;0000000000000000000;0000000000000001914;0000001280063186300031652
